Statistics

Label Sample FAIL Error Avg Min Max Median 90thpct 95thpct 99thpct  transactions/s received sent
Total	287990	0	0.00%	413.06	107	5825	338.00	1028.00	1065.00	1179.00	935.08	835.24	1163.25
HappyDayScanrio_1secResponse	36918	0	0.00%	1072.96	1007	2179	1051.00	1176.00	1238.00	1346.00	122.64	109.45	152.46
HappyDayScanrio_100msResponse	119049	0	0.00%	167.13	107	1297	145.00	240.00	285.00	375.00	396.67	354.35	493.52
HappyDayScanrio_300msResponse	80158	0	0.00%	370.64	307	1467	360.00	470.00	510.00	592.99	266.89	238.43	332.04
HappyDayScanrio_500msResponse	51864	0	0.00%	573.31	507	1643	553.00	670.00	720.00	814.00	172.63	154.22	214.78
HTTP Request	1	0	0.00%	5825.00	5825	5825	5825.00	5825.00	5825.00	5825.00	0.17	0.24	0.06


_time	100-110	110-120	120-130	130-150	150-200	200-500
2026-05-12 19:04:00	0	0	0	0	0	0
2026-05-12 19:05:00	6455	2651	548	222	85	23
2026-05-12 19:06:00	16191	5708	1131	511	168	20
2026-05-12 19:07:00	15606	6141	1223	549	137	2
2026-05-12 19:08:00	14365	6097	1435	620	151	1
2026-05-12 19:09:00	15916	5568	1165	596	122	3
2026-05-12 19:10:00	9758	4286	1024	428	134	9
2026-05-12 19:11:00	0	0	0	0	0	0
2026-05-12 19:12:00	0	0	0	0	0	0

this is for just 100ms
